Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.074455861,,National Weighted Average,,7.5,Statcompiler,7.6
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
895,6,0,0,,,,
896,8,1,0.125,,,,
897,3,0,0,,,,
898,7,0,0,,,,
899,10,1,0.1,,,,
900,8,0,0,,,,
901,6,0,0,,,,
902,7,1,0.142857143,,,,
903,8,0,0,,,,
904,10,0,0,,,,
905,6,0,0,,,,
906,9,1,0.111111111,,,,
907,7,0,0,,,,
908,6,0,0,,,,
909,8,1,0.125,,,,
910,7,1,0.142857143,,,,
911,8,0,0,,,,
912,10,1,0.1,,,,
913,0,0,.,,,,
914,5,1,0.2,,,,
915,3,0,0,,,,
916,3,0,0,,,,
917,6,0,0,,,,
918,5,0,0,,,,
919,10,0,0,,,,
920,5,0,0,,,,
921,5,0,0,,,,
922,6,2,0.333333333,,,,
923,12,1,0.083333333,,,,
924,4,0,0,,,,
925,1,0,0,,,,
926,5,0,0,,,,
927,3,0,0,,,,
928,4,0,0,,,,
929,9,0,0,,,,
930,5,0,0,,,,
931,8,1,0.125,,,,
932,4,0,0,,,,
933,6,0,0,,,,
934,3,0,0,,,,
935,4,0,0,,,,
936,3,0,0,,,,
937,7,1,0.142857143,,,,
938,4,0,0,,,,
939,6,0,0,,,,
940,2,0,0,,,,
941,1,0,0,,,,
942,5,0,0,,,,
943,4,0,0,,,,
944,3,1,0.333333333,,,,
945,5,0,0,,,,
946,4,0,0,,,,
947,2,0,0,,,,
948,8,0,0,,,,
949,3,0,0,,,,
950,5,0,0,,,,
951,4,0,0,,,,
952,6,0,0,,,,
953,9,0,0,,,,
954,5,0,0,,,,
955,7,0,0,,,,
956,4,0,0,,,,
957,6,0,0,,,,
958,7,0,0,,,,
959,5,0,0,,,,
960,7,0,0,,,,
961,3,0,0,,,,
962,5,0,0,,,,
963,5,0,0,,,,
964,1,0,0,,,,
965,2,0,0,,,,
966,2,0,0,,,,
967,7,0,0,,,,
968,3,0,0,,,,
969,1,0,0,,,,
970,9,0,0,,,,
971,5,1,0.2,,,,
972,1,0,0,,,,
973,5,0,0,,,,
974,1,0,0,,,,
975,4,1,0.25,,,,
976,1,0,0,,,,
977,3,0,0,,,,
978,3,0,0,,,,
979,5,0,0,,,,
980,2,0,0,,,,
981,4,0,0,,,,
982,3,0,0,,,,
983,3,0,0,,,,
984,6,0,0,,,,
985,5,0,0,,,,
986,4,1,0.25,,,,
987,5,0,0,,,,
988,2,0,0,,,,
989,4,0,0,,,,
990,4,0,0,,,,
991,9,1,0.111111111,,,,
992,6,3,0.5,,,,
993,5,3,0.6,,,,
994,5,0,0,,,,
995,5,1,0.2,,,,
996,3,0,0,,,,
997,5,1,0.2,,,,
998,4,0,0,,,,
999,5,0,0,,,,
1000,7,2,0.285714286,,,,
1001,2,0,0,,,,
1002,9,0,0,,,,
1003,5,1,0.2,,,,
1004,4,0,0,,,,
1005,4,0,0,,,,
1006,6,0,0,,,,
1007,1,0,0,,,,
1008,2,0,0,,,,
